reporting_date_parent,hist_ticker,hist_cik,hist_ISIN
All Nippon Airways (ANA),,,JP3429800000
Alpha Metallurgical Resources,AMR,1704715,US21241B1008
Chiyoda,,,JP3528400009
Church & Dwight,CHD,313927,US1713401024
Churchill Downs Inc.,CHDN,20212,US1714841087
Cimarex Energy,XEC,1168054,US1717981013
Cincinnati Bell,CBB,716133,US1718715022
Cincinnati Financial,CINF,20286,US1720621010
Cinemark,CNK,1385280,US17243V1026
Cinergy Corp.,,899652,US1724741087
Cintas,CTAS,723254,US1729081059
Circor International,CIR,1091883,US17273K1097
Cisco Systems,CSCO,858877,US17275R1023
Citadel Broadcasting,CDELB,1174527,US17285T1060
Citigroup,NYSE: C,831001,US1729674242
Citizens Financial Group,CFG,759944,US1746101054
Citizens Republic Bancorp,CRBC,351077,US1744203076
Citrix Systems,CTXS,877890,US1773761002
City National Bank,,201461,US1785661059
CLARCOR,CLC,20740,US1798951075
Clean Energy Fuels Corp.,CLNE,1368265,US1844991018
Clean Harbors Inc.,CLH,822818,US1844961078
Clear Channel Outdoor Holdings,CCO,1334978,US18453H1068
Clearwater Paper,CLW,1441236,US18538R1032
Clearwire Corporation,CLWR,1442505,US18538Q1058
Cleveland-Cliffs,CLF,764065,US1858991011
Clorox,CLX,21076,US1890541097
Cloud Peak Energy,CLDPQ,1441849,US18911Q1022
Clovis Oncology,CLVS,1466301,US1894641000
Coca-Cola Co.,KO,21344,US1912161007
Coca-Cola Consolidated,COKE,317540,US1910981026
Coca-Cola Enterprises,,1491675,US19122T1097
Coeur Mining,CDE,215466,US1921085049
Cognizant Technology Solutions,CTSH,1058290,US1924461023
Coherent Inc.,COHR,21510,US1924791031
Coinbase Global Inc.,COIN,1679788,US19260Q1076
Colgate-Palmolive,CL,21665,US1941621039
Columbia Pipeline Group,CPGX,1629995,US1982801094
Columbia Sportswear,COLM,1050797,US1985161066
Columbus McKinnon,CMCO,1005229,US1993331057
Comcast,CMCSA,1166691,US20030N1019
Comerica,CMA,28412,US2003401070
Comfort Systems USA,FIX,1035983,US1999081045
Commercial Metals Co.,CMC,22444,US2017231034
Commercial Vehicle Group Inc.,CVGI,1290900,US2026081057
CommScope,COMM,1517228,US20337X1090
Community Health Systems,CYH,1108109,US2036681086
Compaq Computer Corporation,CPQ,714154,US2044931002
Compass Minerals International,CMP,1227654,US20451N1019
Computer Programs & Systems Inc.,CPSI,1169445,US2053061030
ComScore,SCOR,1158172,US20564W1053
Comtech Telecommunications,CMTL,23197,US2058262096
ConAgra Brands,CAG,23217,US2058871029
Conduent,CNDT,1677703,US2067871036
Conexant Systems,CNXT,1069353,US2071423089
CONMED,CNMD,816956,US2074101013
Connecticut Water Service Inc.,CTWS,276209,US2077971016
Conoco Inc.,COC,1066806,US2082515048
ConocoPhillips,COP,1163165,US20825C1045
Consol Energy,CEIX,1710366,US20854L1089
Consolidated Communications,CNSL,1304421,US2090341072
Consolidated Edison,ED,1047862,US2091151041
Consolidated Graphics,CGX,921500,US2093411062
Constellation Brands,STZ,16918,US21036P1084
Constellation Energy Corporation,CEG,1168165,US21037T1097
Constellation Energy Group,CEG,1004440,US2103711006
Continental Resources Inc.,CLR,732834,US2120151012
Convergys Corp,CVG,1062047,US2124851062
Con-way Inc.,CNW,23675,US2059441012
Cooper Tire & Rubber Co.,CTB,24491,US2168311072
Cooper-Standard Holdings,CPS,1320461,US21676P1030
Copart Inc.,CPRT,900075,US2172041061
Core-Mark Holding,CORE,1318084,US2186811046
CSL Limited,,,AU000000CSL8
Dai Nippon Printing,,,JP3493800001
Daicel,,,JP3485800001
Dai-ichi Life,,,JP3476480003
Daiichi Sankyo,,,JP3475350009
Daikin,,,JP3481800005
Denso,,,JP3551500006
DIC Corporation,,,JP3493400000
ENEOS Holdings,,,JP3386450005
Incitec Pivot,,,AU000000IPL1
James Hardie Building Products,JHX,1159152,AU000000JHX1
KDDI,,,JP3496400007
Lendlease Group,,,AU000000LLC3
Macquarie,MIC,1289790,AU000000MQG1
National Australia Bank,,,AU000000NAB4
Nippon Steel,,,JP3381000003
Nufarm,,,AU000000NUF3
Orica,,,AU000000ORI1
Qantas Airways,,,AU000000QAN2
Seiko Group,,,JP3414700009
Sekisui Chemical,,,JP3419400001
Seven & I Holdings,,,JP3422950000
Sharp,,,JP3359600008
Shin-Etsu Chemical,,,JP3371200001
Shiseido,,,JP3351600006
Showa Corp.,,,JP3360300002
Showa Denko,,,JP3368000000
Sisecam Resources,SIRE,1575051,US1724641097
Sony,SNE,313838,JP3435000009
Stanley Electric,,,JP3399400005
Sumitomo Group,,,JP3404600003
Suntory,,,JP3336560002
Suzuki Motor,,,JP3397200001
Takata,,,JP3359600008
Takeda Pharmaceutical,,,JP3463000004
TDK Corporation,,,JP3538800008
Terumo,,,JP3546800008
Tokai Carbon,,,JP3560800009
Tokai Rika Co.,,,JP3566600007
Toray Industries,,,JP3621000003
Toshiba,,,JP3592200004
Toyo Ink,,,JP3606600009
Toyo Tire & Rubber,,,JP3610600003
Toyobo,,,JP3619800000
